age,gender,year,city,cause,pop,pov,urate,college,VictimID
16,Male,2015,Millbrook,Gunshot,3779,14.1,0.097686375,0.168509509,1
27,Male,2015,Pineville,Gunshot,2769,28.8,0.065723794,0.111402359,2
26,Male,2015,Kenosha,Gunshot,4079,14.6,0.166293142,0.147312269,3
25,Male,2015,South Gate,Gunshot,4343,11.7,0.124827269,0.050132928,4
29,Male,2015,Munroe Falls,Gunshot,6809,1.9,0.063549832,0.403954214,5
29,Male,2015,Phoenix,Gunshot,4682,58,0.073651452,0.102955195,6
22,Male,2015,Bakersfield,Gunshot,5027,17.2,0.131461131,0.20380117,7
35,Male,2015,Wilmington,Gunshot,5238,12.2,0.094346979,0.090437601,8
44,Male,2015,Sunset,Gunshot,4832,37.7,0.140832976,0.047601339,9
31,Male,2015,Wyoming,Gunshot,3795,18.4,0.174167417,0.102691511,10
76,Male,2015,Hanford,Gunshot,2786,9.2,0.041085271,0.100328947,11
40,Male,2015,Rancho Santa Margarita,Gunshot,9429,4.4,0.057580779,0.527176781,12
Unknown,Male,2015,Houston,Gunshot,11228,18.1,0.073771857,0.095803642,13
31,Male,2015,Terre Haute ,Gunshot,3413,13.1,0.054470101,0.345857854,14
23,Male,2015,Indianapolis,Gunshot,5573,26,0.067321178,0.568033429,15
39,Male,2015,Nashville,Gunshot,6315,36.3,0.088225858,0.226814777,16
25,Female,2015,Atlanta,Gunshot,1997,42.4,0.229482072,0.3805374,17
54,Male,2015,Arlington,Gunshot,3651,20.5,0.011916111,0.424964937,18
24,Female,2015,San Francisco,Gunshot,5286,11.6,0.040850588,0.552548489,19
57,Male,2015,San Francisco,Death in custody,5740,6.4,0.063268366,0.40952621,20
21,Male,2015,San Francisco,Gunshot,4303,12.7,0.115890508,0.349884906,21
42,Male,2015,Norfolk,Death in custody,5213,10.3,0.035221496,0.258886442,22
21,Male,2015,Kansas City,Gunshot,4149,36.5,0.178185745,0.070931245,23
36,Male,2015,Fontana,Gunshot,6460,24.4,0.262976968,0.071504237,24
26,Male,2015,Chickasha,Gunshot,3348,20.3,0.011335013,0.1694018,25
49,Male,2015,Medford,Gunshot,5824,24.8,0.131158917,0.125731679,26
54,Male,2015,Derry,Gunshot,4521,5.4,0.087385483,0.284854246,27
26,Male,2015,Sylmar,Gunshot,3202,17.4,0.098980204,0.179372197,28
48,Male,2015,Putnam Hall,Gunshot,6172,18.2,0.176148796,0.15356292,29
33,Male,2015,El Paso,Gunshot,4160,58.1,0.14461316,0.047239915,30
21,Male,2015,Corning,Gunshot,7886,24.1,0.17323741,0.117980072,31
41,Male,2015,Roxbury,Gunshot,4924,41.3,0.22039801,0.182336182,32
48,Male,2015,Memphis,Gunshot,4228,18.9,0.218520333,0.140077821,33
36,Male,2015,Huntsville,Gunshot,6018,8.9,0.063658099,0.422256775,34
41,Male,2015,Clarkesville,Gunshot,5601,9.5,0.133676093,0.268161872,35
29,Male,2015,Lancaster,Gunshot,2742,9.3,0.206855081,0.172319475,36
27,Male,2015,Chamblee,Gunshot,3305,18.6,0.170409511,0.565535024,37
45,Male,2015,Douglas,Gunshot,4838,27.8,0.11037302,0.172743574,38
32,Male,2015,Los Angeles,Gunshot,2584,37.4,0.123766135,0.100675676,39
35,Male,2015,Pasco,Gunshot,6747,35.9,0.131743119,0.057256583,40
36,Male,2015,Strong,Gunshot,3245,15.6,0.055732484,0.100468284,41
35,Male,2015,Rome,Taser,4947,20.5,0.150121065,0.192909897,42
40,Male,2015,Oklahoma City,Gunshot,5887,25.1,0.142746615,0.035338785,43
18,Male,2015,St Petersburg,Gunshot,5004,17.1,0.115461847,0.205354678,44
34,Female,2015,Burlington,Gunshot,4465,26.3,0.105963791,0.096564885,45
39,Male,2015,Santa Ana,Gunshot,8623,20.6,0.123624444,0.06139805,46
21,Male,2015,Baytown,Gunshot,3013,36.2,0.109816972,0.022668394,47
62,Male,2015,Atlanta,Struck by vehicle,3580,41.4,0.23108747,0.129396985,48
43,Female,2015,Gastonia,Gunshot,5876,28.7,0.195510204,0.170362358,49
44,Male,2015,Albuquerque,Gunshot,5203,25.8,0.076500588,0.162601626,50
29,Male,2015,Bunch,Gunshot,4601,19.1,0.042686101,0.139616613,51
35,Male,2015,Washington,Gunshot,2664,11.9,0.019665683,0.828070175,52
50,Male,2015,Palm Bay,Gunshot,8874,14.1,0.080136986,0.175059952,53
18,Male,2015,Cleveland,Gunshot,2182,32.8,0.204280156,0.083226633,54
25,Male,2015,Victoria,Gunshot,6701,10.2,0.047407913,0.171770432,55
31,Male,2015,Middleton,Gunshot,9680,9.5,0.095137421,0.226443265,56
29,Male,2015,Los Angeles,Gunshot,2860,13.2,0.12679524,0.662311147,57
49,Male,2015,Eugene,Gunshot,5057,21.6,0.150479846,0.151658768,58
23,Male,2015,South Gate,Gunshot,4179,16.3,0.125765426,0.015885947,59
45,Male,2015,Glenwood Springs,Gunshot,3880,7.7,0.044583333,0.380767739,60
26,Male,2015,Los Angeles,Taser,3078,23.6,0.214183381,0.198357549,61
35,Male,2015,Assaria,Gunshot,3770,9.5,0.041356877,0.240897389,62
34,Male,2015,Colton,Gunshot,4689,5,0.110323438,0.165820137,63
46,Male,2015,Honolulu,Gunshot,1392,14.4,0.055155875,0.510619469,64
29,Male,2015,Elizabethtown,Gunshot,10220,8.6,0.053564237,0.214598953,65
39,Male,2015,Coconut Creek,Taser,4828,7.8,0.081150488,0.358902001,66
28,Male,2015,Stockton,Gunshot,3568,50.7,0.348008386,0.061581248,67
51,Male,2015,Bisbee,Gunshot,3035,25.8,0.103244838,0.211139241,68
67,Male,2015,Gunlock,Gunshot,2422,34.2,0.312611012,0.035820896,69
53,Male,2015,St Augustine,Gunshot,5102,10.6,0.099182004,0.520915354,70
25,Male,2015,Detroit,Gunshot,2560,46.3,0.258064516,0.065584416,71
30,Male,2015,Cocoa,Gunshot,2621,47.4,0.155444722,0.070175439,72
24,Male,2015,Houston,Gunshot,4049,40.9,0.062886598,0.078923358,73
35,Male,2015,Marysville,Taser,2367,32.2,0.214501511,0.106990014,74
43,Male,2015,Los Angeles,Gunshot,5222,79.2,0.439590444,0.060441941,75
24,Male,2015,Peltzer,Gunshot,5304,14.4,0.095290859,0.198029891,76
29,Male,2015,Morenci,Gunshot,3357,10.9,0.107042254,0.146116241,77
38,Male,2015,Owensboro,Gunshot,3548,10.9,0.032068063,0.388998035,78
31,Male,2015,Jonesboro,Gunshot,3886,18.2,0.092469018,0.213943194,79
36,Male,2015,Portland,Gunshot,7687,31,0.138262782,0.130825139,80
23,Male,2015,Port Wentworth,Gunshot,18168,12.2,0.050383481,0.479000583,81
38,Male,2015,Winchester,Gunshot,6987,11.6,0.103721571,0.195180723,82
53,Male,2015,Follansbee,Gunshot,3292,14.4,0.13483871,0.167398946,83
24,Male,2015,Provo,Gunshot,6457,20.5,0.071107364,0.25940902,84
26,Male,2015,Rosenberg,Gunshot,10229,19.4,0.068076536,0.113879004,85
28,Male,2015,Columbia,Gunshot,4377,36.2,0.034616881,0.674125874,86
34,Female,2015,Moultrie,Gunshot,3520,14.8,0.140276302,0.200720072,87
28,Male,2015,Jacksonville,Gunshot,11284,20,0.149261335,0.202439778,88
40,Male,2015,Silver Spring,Taser,3121,19.9,0.159026599,0.380490588,89
51,Male,2015,New York,Gunshot,4941,20.1,0.106880138,0.109860116,90
44,Male,2015,Sidney,Gunshot,4293,16.5,0.025311025,0.268360599,91
25,Male,2015,Fort Worth,Gunshot,4917,21.5,0.144497608,0.013547237,92
56,Male,2015,Marana,Gunshot,8205,3,0.079104478,0.423807081,93
37,Male,2015,Lakewood,Gunshot,3531,18,0.131736527,0.142030276,94
58,Male,2015,Clermont,Gunshot,11794,9.4,0.12539185,0.201200343,95
39,Male,2015,Omaha,Gunshot,2314,30.5,0.093378608,0.10933759,96
37,Male,2015,San Manuel,Gunshot,3887,15.7,0.188067445,0.16084788,97
35,Male,2015,Union,Gunshot,4904,10.9,0.1,0.392834891,98
26,Male,2015,Baltimore,Gunshot,1625,51,0.309882747,0.014117647,99
47,Male,2015,Oklahoma City,Taser,1812,33.4,0.203271028,0.081980519,100
31,Male,2015,Hagerstown,Taser,1970,46.7,0.348777349,0.091324201,101
60,Male,2015,Lancaster,Gunshot,5787,18.4,0.148903424,0.162518302,102
32,Male,2015,Rock Island,Gunshot,2023,26.9,0.166843783,0.207425343,103
45,Male,2015,Rexburg,Gunshot,3481,42.4,0.091570649,0.26719057,104
42,Male,2015,Lakeland,Gunshot,5059,14.3,0.155357805,0.258240183,105
17,Male,2015,Grand Junction,Gunshot,2291,25.7,0.079276773,0.261888814,106
22,Male,2015,El Paso,Gunshot,3864,26.2,0.131071191,0.132780083,107
33,Male,2015,Wasco,Gunshot,4934,50.6,0.151145038,0.026600166,108
18,Male,2015,Wake Forest,Gunshot,5100,8.5,0.038598999,0.526623377,109
39,Male,2015,Rockwood,Taser,4596,11.2,0.145936982,0.212507778,110
59,Male,2015,Hanover,Gunshot,4487,7.4,0.034010601,0.267043669,111
33,Male,2015,Muskogee County,Taser,4745,34.7,0.11886697,0.202991453,112
58,Male,2015,Mansfield,Gunshot,2991,8.7,0.037341299,0.141363636,113
58,Male,2015,Constantania,Gunshot,4968,12.9,0.158176944,0.147076372,114
47,Male,2015,Tallulah,Struck by vehicle,3403,43.1,0.192203083,0.123522459,115
41,Male,2015,Branford,Taser,4066,8.3,0.071680376,0.382333768,116
64,Male,2015,Los Angeles,Struck by vehicle,4225,7.3,0.068592058,0.285611251,117
45,Male,2015,Garden Grove,Gunshot,4791,24.3,0.11815301,0.165626027,118
53,Female,2015,Gardner,Gunshot,4643,6.3,0.035865793,0.283661878,119
24,Male,2015,Dublin,Gunshot,6056,26.7,0.116172169,0.12675,120
48,Male,2015,Harvey,Gunshot,4232,38.3,0.057540884,0.14025974,121
29,Male,2015,Lauderhill,Gunshot,6074,26.9,0.160730056,0.182923381,122
40,Male,2015,New York,Death in custody,5169,36.7,0.176021554,0.102324177,123
34,Male,2015,San Diego,Gunshot,5029,10.8,0.056382146,0.385287202,124
21,Male,2015,Bay Shore,Gunshot,8222,4.4,0.109368376,0.240339473,125
26,Male,2015,Deltona,Gunshot,3536,17.4,0.102382486,0.056138934,126
45,Male,2015,Dallas,Gunshot,4044,40.1,0.172051696,0.029108327,127
25,Male,2015,Harvey,Gunshot,3085,39.4,0.018193225,0.108970831,128
